chord_name;Cn;Df;Dn;Ef;En;Fn;Gf;Gn;Af;An;Bf;Bn
Cn_j;1;0;0;0;1;0;0;1;0;0;0;0
Df_j;0;1;0;0;0;1;0;0;1;0;0;0
Dn_j;0;0;1;0;0;0;1;0;0;1;0;0
Ef_j;0;0;0;1;0;0;0;1;0;0;1;0
En_j;0;0;0;0;1;0;0;0;1;0;0;1
Fn_j;1;0;0;0;0;1;0;0;0;1;0;0
Gf_j;0;1;0;0;0;0;1;0;0;0;1;0
Gn_j;0;0;1;0;0;0;0;1;0;0;0;1
Af_j;1;0;0;1;0;0;0;0;1;0;0;0
An_j;0;1;0;0;1;0;0;0;0;1;0;0
Bf_j;0;0;1;0;0;1;0;0;0;0;1;0
Bn_j;0;0;0;1;0;0;1;0;0;0;0;1
Cn_n;1;0;0;1;0;0;0;1;0;0;0;0
Df_n;0;1;0;0;1;0;0;0;1;0;0;0
Dn_n;0;0;1;0;0;1;0;0;0;1;0;0
Ef_n;0;0;0;1;0;0;1;0;0;0;1;0
En_n;0;0;0;0;1;0;0;1;0;0;0;1
Fn_n;1;0;0;0;0;1;0;0;1;0;0;0
Gf_n;0;1;0;0;0;0;1;0;0;1;0;0
Gn_n;0;0;1;0;0;0;0;1;0;0;1;0
Af_n;0;0;0;1;0;0;0;0;1;0;0;1
An_n;1;0;0;0;1;0;0;0;0;1;0;0
Bf_n;0;1;0;0;0;1;0;0;0;0;1;0
Bn_n;0;0;1;0;0;0;1;0;0;0;0;1
Cn_d;1;0;0;1;0;0;1;0;0;0;0;0
Df_d;0;1;0;0;1;0;0;1;0;0;0;0
Dn_d;0;0;1;0;0;1;0;0;1;0;0;0
Ef_d;0;0;0;1;0;0;1;0;0;1;0;0
En_d;0;0;0;0;1;0;0;1;0;0;1;0
Fn_d;0;0;0;0;0;1;0;0;1;0;0;1
Gf_d;1;0;0;0;0;0;1;0;0;1;0;0
Gn_d;0;1;0;0;0;0;0;1;0;0;1;0
Af_d;0;0;1;0;0;0;0;0;1;0;0;1
An_d;1;0;0;1;0;0;0;0;0;1;0;0
Bf_d;0;1;0;0;1;0;0;0;0;0;1;0
Bn_d;0;0;1;0;0;1;0;0;0;0;0;1
Cn_a;1;0;0;0;1;0;0;0;1;0;0;0
Df_a;0;1;0;0;0;1;0;0;0;1;0;0
Dn_a;0;0;1;0;0;0;1;0;0;0;1;0
Ef_a;0;0;0;1;0;0;0;1;0;0;0;1
En_a;1;0;0;0;1;0;0;0;1;0;0;0
Fn_a;0;1;0;0;0;1;0;0;0;1;0;0
Gf_a;0;0;1;0;0;0;1;0;0;0;1;0
Gn_a;0;0;0;1;0;0;0;1;0;0;0;1
Af_a;1;0;0;0;1;0;0;0;1;0;0;0
An_a;0;1;0;0;0;1;0;0;0;1;0;0
Bf_a;0;0;1;0;0;0;1;0;0;0;1;0
Bn_a;0;0;0;1;0;0;0;1;0;0;0;1
